AppName,RelPath,File,SourceCategory,SourceKind,Line,Func,QueryHash,ObjectName,DbName,SchemaName,BaseName,IsCrossDb,IsLinkedServer,Role,DmlKind,IsWrite,IsObjectNameDynamic,IsPseudoObject,PseudoKind
dotnet-sample,clsDataAccess1.cs,clsDataAccess1.cs,code,csharp,165,InvestorPopulateRegData,2c3e4f4d2c149dbaf23a3592bf209d2a5a817878,dbo.SBNSchedPopulateRegInvestorForOrder,,dbo,SBNSchedPopulateRegInvestorForOrder,false,false,exec,EXEC,true,false,false,
dotnet-sample,clsDataAccess1.cs,clsDataAccess1.cs,code,csharp,202,StatusORIOrderPopulate,39cb1951277cf896b93d53c2671e26d339b12da6,dbo.SBNSchedGetDataStatusPemesanan,,dbo,SBNSchedGetDataStatusPemesanan,false,false,exec,EXEC,true,false,false,
dotnet-sample,clsDataAccess1.cs,clsDataAccess1.cs,code,csharp,24,GetGeneralParam,75b719ef2434bcdd982b6db5ac8eb58c22570719,dbo.SBNSchedGetGeneralParam,,dbo,SBNSchedGetGeneralParam,false,false,exec,EXEC,true,false,false,
dotnet-sample,clsDataAccess1.cs,clsDataAccess1.cs,code,csharp,272,StatusORIOrderPopulate,5c1b8e85650e984809035e009bbbab54e78f617f,dbo.SBNSchedUpdateStatusPemesananORI,,dbo,SBNSchedUpdateStatusPemesananORI,false,false,exec,EXEC,true,false,false,
dotnet-sample,clsDataAccess1.cs,clsDataAccess1.cs,code,csharp,308,ORIOrderPopulateMainSched,18bcf9da904fd1d33acfbd4dfd5e49a74c43d572,dbo.SBNSchedPopulateORIOrder,,dbo,SBNSchedPopulateORIOrder,false,false,exec,EXEC,true,false,false,
dotnet-sample,clsDataAccess1.cs,clsDataAccess1.cs,code,csharp,347,ORIOrderUpdateResponse,f6db95a49d18846bf766a27cc0a87d8ab4109458,dbo.SBNSchedUpdateResponseOrderORI,,dbo,SBNSchedUpdateResponseOrderORI,false,false,exec,EXEC,true,false,false,
dotnet-sample,clsDataAccess1.cs,clsDataAccess1.cs,code,csharp,391,NotifUpdateStatus,ce12a0979c43ea9e93402df879ac1cf1f0d93516,dbo.SBNSchedUpdateNotifStatus,,dbo,SBNSchedUpdateNotifStatus,false,false,exec,EXEC,true,false,false,
dotnet-sample,clsDataAccess1.cs,clsDataAccess1.cs,code,csharp,425,NotifPopulateData,36e773e2d514e96345f8e87f82b4e4d1469d55a7,dbo.SBNSchedPopulateNotif,,dbo,SBNSchedPopulateNotif,false,false,exec,EXEC,true,false,false,
dotnet-sample,clsDataAccess1.cs,clsDataAccess1.cs,code,csharp,463,ExecQuery,2dadba2a19525dab48053a77737c5a69c852185c,dbo.TRSExecQuery,,dbo,TRSExecQuery,false,false,exec,EXEC,true,false,false,
dotnet-sample,clsDataAccess1.cs,clsDataAccess1.cs,code,csharp,49,InsertLiveLog,220945f9849cb6e9033a0301fd0cab72f729e4a4,dbo.SBNSchedCreateLiveLog,,dbo,SBNSchedCreateLiveLog,false,false,exec,EXEC,true,false,false,
